OTU.ID	taxa
0	Bacteria
8	Bacteria
10	Bacteria
11	Bacteria
12	Bacteria
13	Bacteria
15	Bacteria
21	Bacteria
22	Bacteria
24	Bacteria
28	Bacteria
29	Bacteria
33	Bacteria
34	Bacteria
35	Bacteria
39	Bacteria
43	Bacteria
45	Bacteria
47	Bacteria
50	Bacteria
56	Bacteria
57	Bacteria
60	Bacteria
62	Bacteria
66	Bacteria
76	Bacteria
79	Bacteria
80	Bacteria
81	Bacteria
83	Bacteria
84	Bacteria
86	Bacteria
88	Bacteria
89	Bacteria
98	Bacteria
101	Bacteria
104	Bacteria
105	Bacteria
106	Bacteria
108	Bacteria
109	Bacteria
112	Bacteria
114	Bacteria
115	Bacteria
116	Bacteria
120	Bacteria
121	Bacteria
123	Bacteria
128	Bacteria
132	Bacteria
133	Bacteria
136	Bacteria
137	Bacteria
139	Bacteria
145	Bacteria
151	Bacteria
155	Bacteria
166	Bacteria
168	Bacteria
171	Bacteria
177	Bacteria
178	Bacteria
179	Bacteria
182	Bacteria
184	Bacteria
188	Bacteria
192	Bacteria
194	Bacteria
195	Bacteria
198	Bacteria
200	Bacteria
201	Bacteria
202	Bacteria
205	Bacteria
206	Bacteria
207	Bacteria
211	Bacteria
213	Bacteria
219	Bacteria
221	Bacteria
225	Bacteria
226	Bacteria
234	Bacteria
238	Bacteria
241	Bacteria
253	Bacteria
257	Bacteria
259	Bacteria
262	Bacteria
263	Bacteria
266	Bacteria
267	Bacteria
273	Bacteria
276	Bacteria
284	Bacteria
288	Bacteria
290	Bacteria
291	Bacteria
292	Bacteria
295	Bacteria
299	Bacteria
300	Bacteria
302	Bacteria
309	Bacteria
310	Bacteria
312	Bacteria
314	Bacteria
324	Bacteria
325	Bacteria
327	Bacteria
328	Bacteria
332	Bacteria
337	Bacteria
339	Bacteria
341	Bacteria
342	Bacteria
343	Bacteria
348	Bacteria
349	Bacteria
352	Bacteria
355	Bacteria
357	Bacteria
359	Bacteria
360	Bacteria
362	Bacteria
363	Bacteria
365	Bacteria
366	Bacteria
369	Bacteria
371	Bacteria
372	Bacteria
376	Bacteria
378	Bacteria
379	Bacteria
381	Bacteria
382	Bacteria
383	Bacteria
387	Bacteria
390	Bacteria
392	Bacteria
393	Bacteria
395	Bacteria
397	Bacteria
398	Bacteria
399	Bacteria
402	Bacteria
403	Bacteria
412	Bacteria
413	Bacteria
415	Bacteria
417	Bacteria
418	Bacteria
420	Bacteria
421	Bacteria
425	Bacteria
426	Bacteria
427	Bacteria
430	Bacteria
431	Bacteria
436	Bacteria
437	Bacteria
438	Bacteria
439	Bacteria
441	Bacteria
442	Bacteria
444	Bacteria
446	Bacteria
448	Bacteria
449	Bacteria
451	Bacteria
456	Bacteria
466	Bacteria
468	Bacteria
472	Bacteria
474	Bacteria
475	Bacteria
481	Bacteria
485	Bacteria
486	Bacteria
488	Bacteria
493	Bacteria
498	Bacteria
500	Bacteria
502	Bacteria
507	Bacteria
509	Bacteria
512	Bacteria
513	Bacteria
515	Bacteria
522	Bacteria
527	Bacteria
531	Bacteria
534	Bacteria
535	Bacteria
536	Bacteria
542	Bacteria
545	Bacteria
546	Bacteria
550	Bacteria
551	Bacteria
553	Bacteria
557	Bacteria
564	Bacteria
565	Bacteria
567	Bacteria
572	Bacteria
575	Bacteria
578	Bacteria
586	Bacteria
591	Bacteria
596	Bacteria
600	Bacteria
604	Bacteria
606	Bacteria
611	Bacteria
612	Bacteria
616	Bacteria
620	Bacteria
622	Bacteria
625	Bacteria
628	Bacteria
630	Bacteria
633	Bacteria
638	Bacteria
639	Bacteria
642	Bacteria
644	Bacteria
645	Bacteria
647	Bacteria
650	Bacteria
651	Bacteria
654	Bacteria
663	Bacteria
671	Bacteria
677	Bacteria
685	Bacteria
690	Bacteria
691	Bacteria
696	Bacteria
697	Bacteria
700	Bacteria
702	Bacteria
704	Bacteria
705	Bacteria
710	Bacteria
714	Bacteria
718	Bacteria
727	Bacteria
728	Bacteria
730	Bacteria
731	Bacteria
736	Bacteria
741	Bacteria
751	Bacteria
752	Bacteria
753	Bacteria
754	Bacteria
756	Bacteria
760	Bacteria
761	Bacteria
766	Bacteria
768	Bacteria
769	Bacteria
771	Bacteria
772	Bacteria
776	Bacteria
777	Bacteria
784	Bacteria
785	Bacteria
793	Bacteria
795	Bacteria
798	Bacteria
800	Bacteria
801	Bacteria
808	Bacteria
816	Bacteria
822	Bacteria
824	Bacteria
826	Bacteria
827	Bacteria
829	Bacteria
833	Bacteria
836	Bacteria
837	Bacteria
838	Bacteria
839	Bacteria
841	Bacteria
842	Bacteria
844	Bacteria
846	Bacteria
849	Bacteria
851	Bacteria
856	Bacteria
858	Bacteria
862	Bacteria
864	Bacteria
865	Bacteria
866	Bacteria
867	Bacteria
869	Bacteria
872	Bacteria
875	Bacteria
881	Bacteria
882	Bacteria
883	Bacteria
886	Bacteria
887	Bacteria
888	Bacteria
890	Bacteria
892	Bacteria
894	Bacteria
895	Bacteria
905	Bacteria
913	Bacteria
914	Bacteria
915	Bacteria
916	Bacteria
917	Bacteria
918	Bacteria
920	Bacteria
921	Bacteria
923	Bacteria
925	Bacteria
926	Bacteria
927	Bacteria
928	Bacteria
930	Bacteria
931	Bacteria
937	Bacteria
939	Bacteria
940	Bacteria
941	Bacteria
947	Bacteria
952	Bacteria
954	Bacteria
959	Bacteria
961	Bacteria
962	Bacteria
963	Bacteria
964	Bacteria
966	Bacteria
968	Bacteria
969	Bacteria
973	Bacteria
980	Bacteria
981	Bacteria
983	Bacteria
986	Bacteria
988	Bacteria
990	Bacteria
991	Bacteria
992	Bacteria
993	Bacteria
996	Bacteria
1000	Bacteria
1001	Bacteria
1002	Bacteria
1006	Bacteria
1007	Bacteria
1008	Bacteria
1019	Bacteria
1023	Bacteria
1025	Bacteria
1029	Bacteria
1031	Bacteria
1032	Bacteria
1036	Bacteria
1042	Bacteria
1047	Bacteria
1050	Bacteria
1053	Bacteria
1056	Bacteria
1059	Bacteria
1060	Bacteria
1063	Bacteria
1069	Bacteria
1070	Bacteria
1082	Bacteria
1084	Bacteria
1088	Bacteria
1090	Bacteria
1094	Bacteria
1095	Bacteria
1099	Bacteria
1100	Bacteria
1104	Bacteria
1106	Bacteria
1108	Bacteria
1109	Bacteria
1110	Bacteria
1113	Bacteria
1115	Bacteria
1117	Bacteria
1119	Bacteria
1121	Bacteria
1124	Bacteria
1128	Bacteria
1129	Bacteria
1130	Bacteria
1135	Bacteria
1140	Bacteria
1142	Bacteria
1143	Bacteria
1145	Bacteria
1147	Bacteria
1148	Bacteria
1151	Bacteria
1152	Bacteria
1155	Bacteria
1165	Bacteria
1167	Bacteria
1175	Bacteria
1179	Bacteria
1180	Bacteria
1181	Bacteria
1182	Bacteria
1185	Bacteria
1186	Bacteria
1188	Bacteria
1190	Bacteria
1191	Bacteria
1192	Bacteria
1195	Bacteria
1196	Bacteria
1197	Bacteria
1198	Bacteria
1204	Bacteria
1205	Bacteria
1206	Bacteria
1207	Bacteria
1208	Bacteria
1212	Bacteria
1216	Bacteria
1218	Bacteria
1219	Bacteria
1220	Bacteria
1221	Bacteria
1230	Bacteria
1231	Bacteria
1233	Bacteria
1234	Bacteria
1240	Bacteria
1245	Bacteria
1248	Bacteria
1249	Bacteria
1251	Bacteria
1252	Bacteria
1253	Bacteria
1254	Bacteria
1261	Bacteria
1264	Bacteria
1265	Bacteria
1266	Bacteria
1272	Bacteria
1273	Bacteria
1274	Bacteria
1275	Bacteria
1278	Bacteria
1280	Bacteria
1281	Bacteria
1290	Bacteria
1293	Bacteria
1298	Bacteria
1299	Bacteria
1302	Bacteria
1304	Bacteria
1307	Bacteria
1308	Bacteria
1309	Bacteria
1313	Bacteria
1324	Bacteria
1325	Bacteria
1329	Bacteria
1332	Bacteria
1333	Bacteria
1334	Bacteria
1339	Bacteria
1341	Bacteria
1343	Bacteria
1345	Bacteria
1346	Bacteria
1356	Bacteria
1360	Bacteria
1361	Bacteria
1363	Bacteria
1364	Bacteria
1367	Bacteria
1368	Bacteria
1370	Bacteria
1373	Bacteria
1374	Bacteria
1375	Bacteria
1377	Bacteria
1378	Bacteria
1384	Bacteria
1388	Bacteria
1389	Bacteria
1391	Bacteria
1393	Bacteria
1399	Bacteria
1403	Bacteria
1405	Bacteria
1406	Bacteria
1415	Bacteria
1419	Bacteria
1420	Bacteria
1422	Bacteria
1424	Bacteria
1427	Bacteria
1428	Bacteria
1429	Bacteria
1430	Bacteria
1431	Bacteria
1433	Bacteria
1438	Bacteria
1441	Bacteria
1443	Bacteria
1449	Bacteria
1450	Bacteria
1455	Bacteria
1457	Bacteria
1458	Bacteria
1461	Bacteria
1467	Bacteria
1470	Bacteria
1472	Bacteria
1477	Bacteria
1478	Bacteria
1480	Bacteria
1482	Bacteria
1486	Bacteria
1487	Bacteria
1492	Bacteria
1498	Bacteria
1499	Bacteria
1500	Bacteria
1501	Bacteria
1502	Bacteria
1503	Bacteria
1505	Bacteria
1514	Bacteria
1515	Bacteria
1516	Bacteria
1517	Bacteria
1523	Bacteria
1526	Bacteria
1528	Bacteria
1529	Bacteria
1530	Bacteria
1532	Bacteria
1534	Bacteria
1540	Bacteria
1541	Bacteria
1544	Bacteria
1548	Bacteria
1553	Bacteria
1554	Bacteria
1556	Bacteria
1557	Bacteria
