OTU.ID	taxa
3	Bacteria
4	Bacteria
7	Bacteria
14	Bacteria
15	Bacteria
22	Bacteria
24	Bacteria
27	Bacteria
29	Bacteria
30	Bacteria
40	Bacteria
44	Bacteria
49	Bacteria
57	Bacteria
58	Bacteria
67	Bacteria
71	Bacteria
81	Bacteria
82	Bacteria
83	Bacteria
88	Bacteria
96	Bacteria
104	Bacteria
107	Bacteria
111	Bacteria
112	Bacteria
117	Bacteria
119	Bacteria
120	Bacteria
130	Bacteria
131	Bacteria
142	Bacteria
143	Bacteria
167	Bacteria
171	Bacteria
176	Bacteria
179	Bacteria
182	Bacteria
188	Bacteria
191	Bacteria
195	Bacteria
197	Bacteria
205	Bacteria
211	Bacteria
216	Bacteria
217	Bacteria
222	Bacteria
236	Bacteria
253	Bacteria
257	Bacteria
261	Bacteria
263	Bacteria
266	Bacteria
267	Bacteria
274	Bacteria
275	Bacteria
277	Bacteria
282	Bacteria
291	Bacteria
294	Bacteria
296	Bacteria
297	Bacteria
303	Bacteria
340	Bacteria
351	Bacteria
353	Bacteria
365	Bacteria
369	Bacteria
389	Bacteria
393	Bacteria
399	Bacteria
408	Bacteria
411	Bacteria
413	Bacteria
443	Bacteria
446	Bacteria
451	Bacteria
463	Bacteria
470	Bacteria
471	Bacteria
473	Bacteria
474	Bacteria
481	Bacteria
486	Bacteria
496	Bacteria
504	Bacteria
514	Bacteria
523	Bacteria
524	Bacteria
529	Bacteria
531	Bacteria
535	Bacteria
538	Bacteria
541	Bacteria
542	Bacteria
552	Bacteria
563	Bacteria
569	Bacteria
570	Bacteria
586	Bacteria
589	Bacteria
590	Bacteria
593	Bacteria
595	Bacteria
602	Bacteria
605	Bacteria
606	Bacteria
612	Bacteria
614	Bacteria
645	Bacteria
653	Bacteria
656	Bacteria
658	Bacteria
666	Bacteria
672	Bacteria
681	Bacteria
694	Bacteria
700	Bacteria
701	Bacteria
702	Bacteria
703	Bacteria
705	Bacteria
711	Bacteria
713	Bacteria
718	Bacteria
721	Bacteria
723	Bacteria
726	Bacteria
733	Bacteria
734	Bacteria
744	Bacteria
747	Bacteria
750	Bacteria
759	Bacteria
763	Bacteria
764	Bacteria
776	Bacteria
788	Bacteria
789	Bacteria
792	Bacteria
803	Bacteria
808	Bacteria
821	Bacteria
823	Bacteria
826	Bacteria
837	Bacteria
839	Bacteria
859	Bacteria
862	Bacteria
891	Bacteria
902	Bacteria
909	Bacteria
912	Bacteria
920	Bacteria
927	Bacteria
929	Bacteria
931	Bacteria
943	Bacteria
945	Bacteria
946	Bacteria
949	Bacteria
968	Bacteria
970	Bacteria
980	Bacteria
981	Bacteria
984	Bacteria
989	Bacteria
991	Bacteria
995	Bacteria
996	Bacteria
1004	Bacteria
1006	Bacteria
1010	Bacteria
1012	Bacteria
1013	Bacteria
1014	Bacteria
1015	Bacteria
1019	Bacteria
1027	Bacteria
1032	Bacteria
1050	Bacteria
1051	Bacteria
1060	Bacteria
1062	Bacteria
1065	Bacteria
1070	Bacteria
1077	Bacteria
1086	Bacteria
1087	Bacteria
1088	Bacteria
1098	Bacteria
1099	Bacteria
1100	Bacteria
1101	Bacteria
1103	Bacteria
1105	Bacteria
1109	Bacteria
1113	Bacteria
1126	Bacteria
1142	Bacteria
1151	Bacteria
1152	Bacteria
1165	Bacteria
1167	Bacteria
1169	Bacteria
1171	Bacteria
1176	Bacteria
1192	Bacteria
1195	Bacteria
1205	Bacteria
1206	Bacteria
1215	Bacteria
1218	Bacteria
1219	Bacteria
1229	Bacteria
1235	Bacteria
1252	Bacteria
1256	Bacteria
1266	Bacteria
1271	Bacteria
1287	Bacteria
1292	Bacteria
1298	Bacteria
1299	Bacteria
1306	Bacteria
1309	Bacteria
1313	Bacteria
1328	Bacteria
1333	Bacteria
1342	Bacteria
1344	Bacteria
1346	Bacteria
1350	Bacteria
1362	Bacteria
1391	Bacteria
1394	Bacteria
1396	Bacteria
1400	Bacteria
1404	Bacteria
1415	Bacteria
1424	Bacteria
1427	Bacteria
1428	Bacteria
1429	Bacteria
1436	Bacteria
1439	Bacteria
1451	Bacteria
1453	Bacteria
1457	Bacteria
1464	Bacteria
1466	Bacteria
1469	Bacteria
1474	Bacteria
1482	Bacteria
1491	Bacteria
1492	Bacteria
1496	Bacteria
1503	Bacteria
1507	Bacteria
1516	Bacteria
1528	Bacteria
1536	Bacteria
1540	Bacteria
1554	Bacteria
1558	Bacteria
1559	Bacteria
1566	Bacteria
1575	Bacteria
1579	Bacteria
1587	Bacteria
1592	Bacteria
1600	Bacteria
1603	Bacteria
1606	Bacteria
1616	Bacteria
1633	Bacteria
1642	Bacteria
1650	Bacteria
1660	Bacteria
1667	Bacteria
1670	Bacteria
1671	Bacteria
1676	Bacteria
1681	Bacteria
1687	Bacteria
1691	Bacteria
1692	Bacteria
1694	Bacteria
1705	Bacteria
1708	Bacteria
1722	Bacteria
1723	Bacteria
1727	Bacteria
1739	Bacteria
1744	Bacteria
1751	Bacteria
1752	Bacteria
1774	Bacteria
1778	Bacteria
1782	Bacteria
1785	Bacteria
1786	Bacteria
1787	Bacteria
1791	Bacteria
1793	Bacteria
1798	Bacteria
1804	Bacteria
1814	Bacteria
1828	Bacteria
1834	Bacteria
1835	Bacteria
1836	Bacteria
1851	Bacteria
1862	Bacteria
1869	Bacteria
1870	Bacteria
1873	Bacteria
1879	Bacteria
1898	Bacteria
1899	Bacteria
1905	Bacteria
1944	Bacteria
1963	Bacteria
1965	Bacteria
1974	Bacteria
1975	Bacteria
1995	Bacteria
1996	Bacteria
1998	Bacteria
2000	Bacteria
2006	Bacteria
2007	Bacteria
2008	Bacteria
2009	Bacteria
2016	Bacteria
2019	Bacteria
2022	Bacteria
2034	Bacteria
2046	Bacteria
2047	Bacteria
2048	Bacteria
2051	Bacteria
2052	Bacteria
2055	Bacteria
2059	Bacteria
2074	Bacteria
2075	Bacteria
2077	Bacteria
2078	Bacteria
2088	Bacteria
2090	Bacteria
2100	Bacteria
2108	Bacteria
2145	Bacteria
2150	Bacteria
2155	Bacteria
2156	Bacteria
2175	Bacteria
2183	Bacteria
2187	Bacteria
2196	Bacteria
2202	Bacteria
2216	Bacteria
2219	Bacteria
2221	Bacteria
2224	Bacteria
2242	Bacteria
2243	Bacteria
2244	Bacteria
2251	Bacteria
2256	Bacteria
2258	Bacteria
2260	Bacteria
2265	Bacteria
2273	Bacteria
2274	Bacteria
2276	Bacteria
2281	Bacteria
2291	Bacteria
2294	Bacteria
2297	Bacteria
2307	Bacteria
2326	Bacteria
2337	Bacteria
2340	Bacteria
2350	Bacteria
2363	Bacteria
2376	Bacteria
2386	Bacteria
2393	Bacteria
2394	Bacteria
2401	Bacteria
2409	Bacteria
2432	Bacteria
2437	Bacteria
2445	Bacteria
2449	Bacteria
2452	Bacteria
2454	Bacteria
2463	Bacteria
2470	Bacteria
2473	Bacteria
2474	Bacteria
2481	Bacteria
2485	Bacteria
2509	Bacteria
2520	Bacteria
2526	Bacteria
2537	Bacteria
2539	Bacteria
2540	Bacteria
2545	Bacteria
2552	Bacteria
2559	Bacteria
2562	Bacteria
2567	Bacteria
2571	Bacteria
